reel_id,batch_id,category_id,subtopic,angle_template,primary_claim_slug,status,duplicate_key,created_at
0001,001,learning,retrieval_practice,common_myth_vs_evidence,testing-is-a-learning-tool,uploaded,learning|retrieval_practice|common_myth_vs_evidence|testing-is-a-learning-tool,2026-08-22T00:00:00Z
0002,001,learning,spacing,one_practical_experiment,spaced-review-plan,planned,learning|spacing|one_practical_experiment|spaced-review-plan,2026-08-22T04:42:33.297930+00:00
0003,001,learning,interleaving,common_myth_vs_evidence,mixed-practice-vs-block-practice,planned,learning|interleaving|common_myth_vs_evidence|mixed-practice-vs-block-practice,2026-08-22T04:42:33.297943+00:00
0004,001,learning,generation_effect,mechanism_with_caveat,attempt-before-answer,planned,learning|generation_effect|mechanism_with_caveat|attempt-before-answer,2026-08-22T04:42:33.297946+00:00
0005,001,learning,feedback,everyday_decision_case,feedback-after-attempt,planned,learning|feedback|everyday_decision_case|feedback-after-attempt,2026-08-22T04:42:33.297947+00:00
0006,001,memory,sleep_and_memory,mechanism_with_caveat,sleep-and-consolidation-boundary,planned,memory|sleep_and_memory|mechanism_with_caveat|sleep-and-consolidation-boundary,2026-08-22T04:42:33.297949+00:00
0007,001,learning,cognitive_load,one_practical_experiment,simplify-learning-material,planned,learning|cognitive_load|one_practical_experiment|simplify-learning-material,2026-08-22T04:42:33.297950+00:00
0008,001,psychology,attention,common_myth_vs_evidence,familiarity-is-not-mastery,planned,psychology|attention|common_myth_vs_evidence|familiarity-is-not-mastery,2026-08-22T04:42:33.297951+00:00
0009,001,memory,working_memory,what_the_research_cannot_say,working-memory-individual-differences,planned,memory|working_memory|what_the_research_cannot_say|working-memory-individual-differences,2026-08-22T04:42:33.297952+00:00
0010,001,habits,environment,one_practical_experiment,reduce-friction-for-habits,planned,habits|environment|one_practical_experiment|reduce-friction-for-habits,2026-08-22T04:42:33.297954+00:00
0011,001,habits,cues,everyday_decision_case,cue-routine-context,planned,habits|cues|everyday_decision_case|cue-routine-context,2026-08-22T04:42:33.297955+00:00
0012,001,psychology,decision,common_myth_vs_evidence,choice-overload-context,planned,psychology|decision|common_myth_vs_evidence|choice-overload-context,2026-08-22T04:42:33.297957+00:00
0013,001,psychology,cognitive_bias,everyday_decision_case,confirmation-bias-question,planned,psychology|cognitive_bias|everyday_decision_case|confirmation-bias-question,2026-08-22T04:42:33.297958+00:00
0014,001,psychology,emotions,mechanism_with_caveat,name-emotion-not-cure,planned,psychology|emotions|mechanism_with_caveat|name-emotion-not-cure,2026-08-22T04:42:33.297960+00:00
0015,001,wellbeing,emotional_literacy,one_practical_experiment,emotion-check-in,planned,wellbeing|emotional_literacy|one_practical_experiment|emotion-check-in,2026-08-22T04:42:33.297962+00:00
0016,001,neuroscience,neuroplasticity,common_myth_vs_evidence,plasticity-not-instant-rewire,planned,neuroscience|neuroplasticity|common_myth_vs_evidence|plasticity-not-instant-rewire,2026-08-22T04:42:33.297963+00:00
0017,001,neuroscience,sleep,what_the_research_cannot_say,sleep-tracker-limitations,planned,neuroscience|sleep|what_the_research_cannot_say|sleep-tracker-limitations,2026-08-22T04:42:33.297964+00:00
0018,001,meditation,mindfulness,scientific-and-spiritual-boundary,mindfulness-evidence-and-belief,planned,meditation|mindfulness|scientific-and-spiritual-boundary|mindfulness-evidence-and-belief,2026-08-22T04:42:33.297965+00:00
0019,001,meditation,breathing,one_practical_experiment,slow-breathing-safety-boundary,planned,meditation|breathing|one_practical_experiment|slow-breathing-safety-boundary,2026-08-22T04:42:33.297967+00:00
0020,001,meditation,expectations,what_the_research_cannot_say,meditation-is-not-universal-cure,planned,meditation|expectations|what_the_research_cannot_say|meditation-is-not-universal-cure,2026-08-22T04:42:33.297968+00:00
0021,001,consciousness,dreams,historical_idea_and_modern_evidence,dream-interpretation-boundary,planned,consciousness|dreams|historical_idea_and_modern_evidence|dream-interpretation-boundary,2026-08-22T04:42:33.297969+00:00
0022,001,consciousness,self_experience,hypothesis_vs_evidence,self-model-hypothesis,planned,consciousness|self_experience|hypothesis_vs_evidence|self-model-hypothesis,2026-08-22T04:42:33.297971+00:00
0023,001,philosophy,free_will,historical_idea_and_modern_evidence,free-will-philosophical-question,planned,philosophy|free_will|historical_idea_and_modern_evidence|free-will-philosophical-question,2026-08-22T04:42:33.297972+00:00
0024,001,philosophy,mind_body_problem,historical_idea_and_modern_evidence,mind-body-open-question,planned,philosophy|mind_body_problem|historical_idea_and_modern_evidence|mind-body-open-question,2026-08-22T04:42:33.297974+00:00
0025,001,spirituality,impermanence,cross_cultural_perspective,impermanence-belief-and-reflection,planned,spirituality|impermanence|cross_cultural_perspective|impermanence-belief-and-reflection,2026-08-22T04:42:33.297975+00:00
0026,001,spirituality,compassion,cross_cultural_perspective,compassion-practice-and-evidence,planned,spirituality|compassion|cross_cultural_perspective|compassion-practice-and-evidence,2026-08-22T04:42:33.297976+00:00
0027,001,psychology,social_behavior,correlation_vs_causation,social-media-and-loneliness-correlation,planned,psychology|social_behavior|correlation_vs_causation|social-media-and-loneliness-correlation,2026-08-22T04:42:33.297978+00:00
0028,001,wellbeing,relationships,everyday_decision_case,active-constructive-responding,planned,wellbeing|relationships|everyday_decision_case|active-constructive-responding,2026-08-22T04:42:33.297979+00:00
0029,001,memory,false_memories,common_myth_vs_evidence,memory-is-not-video-recording,planned,memory|false_memories|common_myth_vs_evidence|memory-is-not-video-recording,2026-08-22T04:42:33.297980+00:00
0030,001,learning,metacognition,one_practical_experiment,confidence-calibration-practice,planned,learning|metacognition|one_practical_experiment|confidence-calibration-practice,2026-08-22T04:42:33.297982+00:00
